timestamp,distance_cm,d_int,d_frac,temp_c,t_int,t_frac,pressure_pa,pressure_scaled,p_hi,p_lo,raw_bytes
2025-12-13 18:14:30,126.33,126,33,22.49,22,49,102150,10215,39,231,"126,33,22,49,39,231"
2025-12-13 18:14:31,126.36,126,36,22.48,22,48,102140,10214,39,230,"126,36,22,48,39,230"
2025-12-13 18:14:32,127.7,127,70,22.48,22,48,102150,10215,39,231,"127,70,22,48,39,231"
2025-12-13 18:14:32,128.13,128,13,22.49,22,49,102150,10215,39,231,"128,13,22,49,39,231"
2025-12-13 18:14:33,127.78,127,78,22.49,22,49,102150,10215,39,231,"127,78,22,49,39,231"
2025-12-13 18:14:33,128.14,128,14,22.49,22,49,102150,10215,39,231,"128,14,22,49,39,231"
2025-12-13 18:14:34,126.79,126,79,22.49,22,49,102150,10215,39,231,"126,79,22,49,39,231"
2025-12-13 18:14:34,126.77,126,77,22.48,22,48,102170,10217,39,233,"126,77,22,48,39,233"
2025-12-13 18:14:35,40.97,40,97,22.49,22,49,102170,10217,39,233,"40,97,22,49,39,233"
2025-12-13 18:14:35,50.3,50,30,22.49,22,49,102170,10217,39,233,"50,30,22,49,39,233"
2025-12-13 18:14:36,61.65,61,65,22.49,22,49,102170,10217,39,233,"61,65,22,49,39,233"
2025-12-13 18:14:36,128.32,128,32,22.49,22,49,102170,10217,39,233,"128,32,22,49,39,233"
2025-12-13 18:14:37,83.18,83,18,22.49,22,49,102170,10217,39,233,"83,18,22,49,39,233"
2025-12-13 18:14:37,83.26,83,26,22.49,22,49,102160,10216,39,232,"83,26,22,49,39,232"
2025-12-13 18:14:38,104.1,104,10,22.49,22,49,102170,10217,39,233,"104,10,22,49,39,233"
2025-12-13 18:14:38,79.2,79,20,22.48,22,48,102170,10217,39,233,"79,20,22,48,39,233"
2025-12-13 18:14:39,80.02,80,2,22.48,22,48,102160,10216,39,232,"80,2,22,48,39,232"
2025-12-13 18:14:39,80.19,80,19,22.48,22,48,102170,10217,39,233,"80,19,22,48,39,233"
2025-12-13 18:14:40,91.46,91,46,22.47,22,47,102150,10215,39,231,"91,46,22,47,39,231"
2025-12-13 18:14:41,89.39,89,39,22.47,22,47,102140,10214,39,230,"89,39,22,47,39,230"
2025-12-13 18:14:41,78.84,78,84,22.46,22,46,102140,10214,39,230,"78,84,22,46,39,230"
2025-12-13 18:14:42,41.43,41,43,22.46,22,46,102140,10214,39,230,"41,43,22,46,39,230"
2025-12-13 18:14:42,38.19,38,19,22.46,22,46,102140,10214,39,230,"38,19,22,46,39,230"
2025-12-13 18:14:43,30.56,30,56,22.46,22,46,102150,10215,39,231,"30,56,22,46,39,231"
2025-12-13 18:14:43,135.73,135,73,22.46,22,46,102150,10215,39,231,"135,73,22,46,39,231"
2025-12-13 18:14:44,32.4,32,40,22.45,22,45,102150,10215,39,231,"32,40,22,45,39,231"
2025-12-13 18:14:44,30.3,30,30,22.45,22,45,102150,10215,39,231,"30,30,22,45,39,231"
2025-12-13 18:14:45,59.56,59,56,22.44,22,44,102150,10215,39,231,"59,56,22,44,39,231"
2025-12-13 18:14:45,51.69,51,69,22.41,22,41,102150,10215,39,231,"51,69,22,41,39,231"
2025-12-13 18:14:46,50.83,50,83,22.39,22,39,102150,10215,39,231,"50,83,22,39,39,231"
2025-12-13 18:14:46,51.71,51,71,22.38,22,38,102150,10215,39,231,"51,71,22,38,39,231"
2025-12-13 18:14:47,50.64,50,64,22.37,22,37,102150,10215,39,231,"50,64,22,37,39,231"
2025-12-13 18:14:47,50.66,50,66,22.37,22,37,102150,10215,39,231,"50,66,22,37,39,231"
2025-12-13 18:14:48,126.5,126,50,22.37,22,37,102150,10215,39,231,"126,50,22,37,39,231"
2025-12-13 18:14:48,50.99,50,99,22.37,22,37,102150,10215,39,231,"50,99,22,37,39,231"
2025-12-13 18:14:49,68.75,68,75,22.37,22,37,102150,10215,39,231,"68,75,22,37,39,231"
2025-12-13 18:14:49,134.2,134,20,22.37,22,37,102140,10214,39,230,"134,20,22,37,39,230"
2025-12-13 18:14:50,134.16,134,16,22.38,22,38,102140,10214,39,230,"134,16,22,38,39,230"
2025-12-13 18:14:51,129.38,129,38,22.38,22,38,102140,10214,39,230,"129,38,22,38,39,230"
2025-12-13 18:14:51,129.4,129,40,22.38,22,38,102140,10214,39,230,"129,40,22,38,39,230"
