timestamp,distance_cm,d_int,d_frac,temp_c,t_int,t_frac,pressure_pa,pressure_scaled,p_hi,p_lo,raw_bytes
2025-12-13 17:49:35,125.88,125,88,22.56,22,56,102120,10212,39,228,"125,88,22,56,39,228"
2025-12-13 17:49:35,125.9,125,90,22.56,22,56,102110,10211,39,227,"125,90,22,56,39,227"
2025-12-13 17:49:36,125.9,125,90,22.57,22,57,102110,10211,39,227,"125,90,22,57,39,227"
2025-12-13 17:49:36,125.9,125,90,22.56,22,56,102110,10211,39,227,"125,90,22,56,39,227"
2025-12-13 17:49:37,125.9,125,90,22.57,22,57,102110,10211,39,227,"125,90,22,57,39,227"
2025-12-13 17:49:37,125.9,125,90,22.57,22,57,102110,10211,39,227,"125,90,22,57,39,227"
2025-12-13 17:49:38,125.83,125,83,22.57,22,57,102120,10212,39,228,"125,83,22,57,39,228"
2025-12-13 17:49:39,125.9,125,90,22.57,22,57,102120,10212,39,228,"125,90,22,57,39,228"
2025-12-13 17:49:39,125.86,125,86,22.57,22,57,102130,10213,39,229,"125,86,22,57,39,229"
2025-12-13 17:49:40,125.9,125,90,22.57,22,57,102130,10213,39,229,"125,90,22,57,39,229"
2025-12-13 17:49:40,125.9,125,90,22.57,22,57,102130,10213,39,229,"125,90,22,57,39,229"
2025-12-13 17:49:41,125.88,125,88,22.57,22,57,102120,10212,39,228,"125,88,22,57,39,228"
2025-12-13 17:49:41,125.88,125,88,22.57,22,57,102120,10212,39,228,"125,88,22,57,39,228"
2025-12-13 17:49:42,125.88,125,88,22.57,22,57,102120,10212,39,228,"125,88,22,57,39,228"
2025-12-13 17:49:42,125.9,125,90,22.57,22,57,102120,10212,39,228,"125,90,22,57,39,228"
2025-12-13 17:49:43,125.9,125,90,22.58,22,58,102120,10212,39,228,"125,90,22,58,39,228"
2025-12-13 17:49:43,125.88,125,88,22.58,22,58,102120,10212,39,228,"125,88,22,58,39,228"
2025-12-13 17:49:44,126.43,126,43,22.57,22,57,102110,10211,39,227,"126,43,22,57,39,227"
2025-12-13 17:49:44,57.28,57,28,22.58,22,58,102110,10211,39,227,"57,28,22,58,39,227"
2025-12-13 17:49:45,54.43,54,43,22.58,22,58,102120,10212,39,228,"54,43,22,58,39,228"
2025-12-13 17:49:45,51.0,51,0,22.58,22,58,102120,10212,39,228,"51,0,22,58,39,228"
2025-12-13 17:49:46,134.71,134,71,22.58,22,58,102130,10213,39,229,"134,71,22,58,39,229"
2025-12-13 17:49:46,60.13,60,13,22.58,22,58,102130,10213,39,229,"60,13,22,58,39,229"
2025-12-13 17:49:47,134.63,134,63,22.58,22,58,102130,10213,39,229,"134,63,22,58,39,229"
2025-12-13 17:49:48,134.1,134,10,22.58,22,58,102120,10212,39,228,"134,10,22,58,39,228"
2025-12-13 17:49:48,66.92,66,92,22.58,22,58,102120,10212,39,228,"66,92,22,58,39,228"
2025-12-13 17:49:49,73.25,73,25,22.58,22,58,102120,10212,39,228,"73,25,22,58,39,228"
2025-12-13 17:49:49,97.86,97,86,22.58,22,58,102120,10212,39,228,"97,86,22,58,39,228"
2025-12-13 17:49:50,75.7,75,70,22.58,22,58,102120,10212,39,228,"75,70,22,58,39,228"
2025-12-13 17:49:50,97.03,97,3,22.58,22,58,102150,10215,39,231,"97,3,22,58,39,231"
2025-12-13 17:49:51,96.81,96,81,22.57,22,57,102170,10217,39,233,"96,81,22,57,39,233"
2025-12-13 17:49:51,95.7,95,70,22.57,22,57,102180,10218,39,234,"95,70,22,57,39,234"
2025-12-13 17:49:52,94.79,94,79,22.56,22,56,102180,10218,39,234,"94,79,22,56,39,234"
2025-12-13 17:49:52,94.34,94,34,22.56,22,56,102180,10218,39,234,"94,34,22,56,39,234"
2025-12-13 17:49:53,95.17,95,17,22.56,22,56,102180,10218,39,234,"95,17,22,56,39,234"
2025-12-13 17:49:53,94.07,94,7,22.54,22,54,102170,10217,39,233,"94,7,22,54,39,233"
2025-12-13 17:49:54,94.51,94,51,22.54,22,54,102180,10218,39,234,"94,51,22,54,39,234"
2025-12-13 17:49:54,94.51,94,51,22.52,22,52,102180,10218,39,234,"94,51,22,52,39,234"
2025-12-13 17:49:55,94.98,94,98,22.5,22,50,102180,10218,39,234,"94,98,22,50,39,234"
2025-12-13 17:49:55,94.62,94,62,22.49,22,49,102180,10218,39,234,"94,62,22,49,39,234"
2025-12-13 17:49:56,94.7,94,70,22.47,22,47,102180,10218,39,234,"94,70,22,47,39,234"
2025-12-13 17:49:57,94.7,94,70,22.46,22,46,102160,10216,39,232,"94,70,22,46,39,232"
2025-12-13 17:49:57,94.77,94,77,22.46,22,46,102140,10214,39,230,"94,77,22,46,39,230"
2025-12-13 17:49:58,94.79,94,79,22.45,22,45,102120,10212,39,228,"94,79,22,45,39,228"
2025-12-13 17:49:58,94.26,94,26,22.44,22,44,102120,10212,39,228,"94,26,22,44,39,228"
2025-12-13 17:49:59,94.63,94,63,22.43,22,43,102110,10211,39,227,"94,63,22,43,39,227"
2025-12-13 17:49:59,94.53,94,53,22.43,22,43,102120,10212,39,228,"94,53,22,43,39,228"
